algo,taille,serie,temps,hauteur
vorace,500,2,0.000123 ,39984
vorace,500,2,0.000137 ,42468
vorace,500,2,0.000114 ,41011
vorace,500,2,0.000089 ,37898
vorace,500,2,0.000093 ,44634
vorace,100,9,0.000018 ,3390
vorace,100,9,0.000018 ,3727
vorace,100,9,0.000018 ,3625
vorace,100,9,0.000019 ,3728
vorace,100,9,0.000019 ,4193
vorace,100,9,0.000019 ,4247
vorace,100,9,0.000018 ,3364
vorace,100,9,0.000023 ,3918
vorace,100,9,0.000023 ,3783
vorace,100,9,0.000024 ,4126
vorace,5000,10,0.001280 ,1367358
vorace,5000,10,0.001337 ,1414758
vorace,5000,10,0.001041 ,1404792
vorace,5000,10,0.001059 ,1297308
vorace,5000,10,0.001331 ,1342570
vorace,5000,10,0.001083 ,1421727
vorace,5000,10,0.001061 ,1459565
vorace,5000,10,0.001045 ,1359815
vorace,5000,10,0.001114 ,1374565
vorace,5000,10,0.001059 ,1418311
vorace,500,5,0.000088 ,51138
vorace,500,5,0.000088 ,51188
vorace,500,5,0.000088 ,45777
vorace,500,5,0.000088 ,46901
vorace,500,5,0.000128 ,49502
vorace,500,5,0.000132 ,47806
vorace,500,5,0.000088 ,47019
vorace,500,5,0.000088 ,50586
vorace,500,5,0.000088 ,47387
vorace,500,5,0.000116 ,46922
vorace,100000,1,0.026571 ,136002992
vorace,100000,1,0.027139 ,130439568
vorace,100000,1,0.026367 ,131376945
vorace,100000,1,0.027057 ,132994508
vorace,100000,1,0.026318 ,134370688
vorace,100000,1,0.026550 ,131233648
vorace,100000,1,0.027179 ,134099576
vorace,100000,1,0.027132 ,132628804
vorace,100000,1,0.026256 ,130315635
vorace,100000,1,0.026551 ,132943853
vorace,5000,8,0.001046 ,1418987
vorace,5000,8,0.001046 ,1483822
vorace,5000,8,0.001046 ,1516214
vorace,5000,8,0.001064 ,1522660
vorace,5000,8,0.001047 ,1514668
vorace,5000,8,0.001045 ,1498952
vorace,5000,8,0.001049 ,1507616
vorace,5000,8,0.001069 ,1525342
vorace,5000,8,0.001079 ,1445116
vorace,5000,8,0.001044 ,1533765
vorace,100,2,0.000018 ,4179
vorace,100,2,0.000018 ,4611
vorace,100,2,0.000018 ,4329
vorace,100,2,0.000018 ,4813
vorace,100,2,0.000017 ,4203
vorace,100,2,0.000017 ,4556
vorace,100,2,0.000018 ,4648
vorace,100,2,0.000023 ,4887
vorace,100,2,0.000018 ,4706
vorace,100,2,0.000018 ,4260
vorace,100,7,0.000018 ,3628
vorace,100,7,0.000022 ,3775
vorace,100,7,0.000033 ,3201
vorace,100,7,0.000018 ,3530
vorace,100,7,0.000017 ,3269
vorace,100,7,0.000018 ,2978
vorace,100,7,0.000020 ,3907
vorace,100,7,0.000017 ,3664
vorace,100,7,0.000019 ,3728
vorace,100,7,0.000018 ,3837
vorace,50000,8,0.012427 ,46868510
vorace,50000,8,0.012415 ,44906224
vorace,50000,8,0.012438 ,47437401
vorace,50000,8,0.012475 ,46960340
vorace,50000,8,0.012519 ,46375285
vorace,50000,8,0.012885 ,46242356
vorace,50000,8,0.012427 ,46095142
vorace,50000,8,0.012469 ,46377818
vorace,50000,8,0.012428 ,45657776
vorace,50000,8,0.012467 ,46707042
vorace,5000,1,0.001044 ,1350967
vorace,5000,1,0.001427 ,1313381
vorace,5000,1,0.001065 ,1489509
vorace,5000,1,0.001133 ,1393307
vorace,5000,1,0.001105 ,1353634
vorace,5000,1,0.001071 ,1415113
vorace,5000,1,0.001074 ,1338610
vorace,5000,1,0.001080 ,1358222
vorace,5000,1,0.001065 ,1415395
vorace,5000,1,0.001044 ,1289685
vorace,50000,4,0.012462 ,45857365
vorace,50000,4,0.012436 ,45781703
vorace,50000,4,0.012462 ,48142870
vorace,50000,4,0.012515 ,45299540
vorace,50000,4,0.012439 ,47109374
vorace,50000,4,0.012466 ,47385142
vorace,50000,4,0.012553 ,46375072
vorace,50000,4,0.012436 ,45875693
vorace,50000,4,0.012512 ,47631455
vorace,50000,4,0.012457 ,47000552
vorace,1000,3,0.000191 ,130411
vorace,1000,3,0.000197 ,133365
vorace,1000,3,0.000237 ,134492
vorace,1000,3,0.000282 ,121676
vorace,1000,3,0.000185 ,126058
vorace,1000,3,0.000247 ,115608
vorace,1000,3,0.000217 ,133664
vorace,1000,3,0.000185 ,122968
vorace,1000,3,0.000279 ,126057
vorace,1000,3,0.000195 ,122030
vorace,1000,9,0.000236 ,131530
vorace,1000,9,0.000184 ,117886
vorace,1000,9,0.000191 ,123226
vorace,1000,9,0.000192 ,136433
vorace,1000,9,0.000184 ,125915
vorace,1000,9,0.000266 ,127990
vorace,1000,9,0.000246 ,123741
vorace,1000,9,0.000258 ,127480
vorace,1000,9,0.000185 ,122131
vorace,1000,9,0.000246 ,135068
vorace,5000,5,0.001094 ,1529159
vorace,5000,5,0.001066 ,1371320
vorace,5000,5,0.001049 ,1447453
vorace,5000,5,0.001041 ,1361868
vorace,5000,5,0.001058 ,1466781
vorace,5000,5,0.001080 ,1509575
vorace,5000,5,0.001029 ,1365659
vorace,5000,5,0.001033 ,1447669
vorace,5000,5,0.001042 ,1412750
vorace,5000,5,0.001067 ,1516357
vorace,100000,9,0.027144 ,126002291
vorace,100000,9,0.026364 ,128510026
vorace,100000,9,0.026530 ,125415136
vorace,100000,9,0.026696 ,126725697
vorace,100000,9,0.026386 ,128139693
vorace,100000,9,0.026333 ,126431391
vorace,100000,9,0.026407 ,130538507
vorace,100000,9,0.026408 ,122898843
vorace,100000,9,0.027474 ,125039726
vorace,100000,9,0.026352 ,127168677
vorace,500,9,0.000090 ,48650
vorace,500,9,0.000089 ,52558
vorace,500,9,0.000089 ,46331
vorace,500,9,0.000089 ,45110
vorace,500,9,0.000089 ,48935
vorace,500,9,0.000088 ,53096
vorace,500,9,0.000120 ,55715
vorace,500,9,0.000129 ,43839
vorace,500,9,0.000092 ,46530
vorace,500,9,0.000089 ,50227
vorace,1000,2,0.000187 ,147476
vorace,1000,2,0.000188 ,140952
vorace,1000,2,0.000188 ,140668
vorace,1000,2,0.000242 ,144072
vorace,1000,2,0.000249 ,152571
vorace,1000,2,0.000189 ,162440
vorace,1000,2,0.000187 ,146327
vorace,1000,2,0.000187 ,139003
vorace,1000,2,0.000239 ,148169
vorace,1000,2,0.000238 ,147457
vorace,5000,3,0.001340 ,1437109
vorace,5000,3,0.001099 ,1489541
vorace,5000,3,0.001046 ,1430548
vorace,5000,3,0.001044 ,1428600
vorace,5000,3,0.001072 ,1396624
vorace,5000,3,0.001077 ,1466006
vorace,5000,3,0.001044 ,1436017
vorace,5000,3,0.001065 ,1397925
vorace,5000,3,0.001050 ,1484083
vorace,5000,3,0.001078 ,1437436
vorace,10000,7,0.002199 ,3803984
