algo,temps,size
mergesort_threshold, 0.010327,1170
mergesort_threshold, 0.010859,1170
mergesort_threshold, 0.010421,1170
mergesort_threshold, 0.009869,1180
mergesort_threshold, 0.010165,1180
mergesort_threshold, 0.009977,1180
mergesort_threshold, 0.009963,1180
mergesort_threshold, 0.010461,1180
mergesort_threshold, 0.010026,1180
mergesort_threshold, 0.010038,1180
mergesort_threshold, 0.010603,1180
mergesort_threshold, 0.010514,1180
mergesort_threshold, 0.009882,1180
mergesort_threshold, 0.009847,1190
mergesort_threshold, 0.009967,1190
mergesort_threshold, 0.010147,1190
mergesort_threshold, 0.011245,1190
mergesort_threshold, 0.010193,1190
mergesort_threshold, 0.009941,1190
mergesort_threshold, 0.011455,1190
mergesort_threshold, 0.010989,1190
mergesort_threshold, 0.010337,1190
mergesort_threshold, 0.010171,1190
mergesort_threshold, 0.009988,1200
mergesort_threshold, 0.011254,1200
mergesort_threshold, 0.010597,1200
mergesort_threshold, 0.010958,1200
mergesort_threshold, 0.010602,1200
mergesort_threshold, 0.010754,1200
mergesort_threshold, 0.009815,1200
mergesort_threshold, 0.011094,1200
mergesort_threshold, 0.009817,1200
mergesort_threshold, 0.011504,1200
